household_email	appliance_number	manufacturer_name	model	appliance_type	energy_source	air_handler_types	rpm	eer	hspf	seer	tank_size	temperature	btu
aacey@labdrill.com	1	Montanar Holdings Company	Cipzapefin	air_handler		heatpump	820		20.2	42.9			10374
aacey@labdrill.com	2	Truwerentor WorldWide Corp.	Truquestedgistor	air_handler		air_conditioner	1430	8.5					12359
aacey@labdrill.com	3	Sursipedower  Inc	Grodudamover	water_heater	gas						17.1	181	12327
aacey@labdrill.com	4	Hapweristor Holdings	Endbanaquar	water_heater	electric						34.0	173	11046
aacuff@opentech.com	1	Partinazz	Varpickor	air_handler	electric	heater	350						4998
aacuff@opentech.com	2	Monpickex  Group	Supwerpedazz	air_handler		air_conditioner	380	2.0					5335
aacuff@opentech.com	3	Dopquestan WorldWide	Lomrobefantor	air_handler		heatpump	850		22.4	59.7			6994
aacuff@opentech.com	4	Indudan International	Parhupadicator	air_handler		heatpump	1270		27.5	40.3			8244
aacuff@sonron.com	1	Supsapedicator Holdings	Injubazz	air_handler		heatpump	860		23.2	56.8			9050
aacuff@sonron.com	2	Haprobedgazz	Montanin	air_handler	gas	air_conditioner,heater	1060	23.2					12879
aacuff@sonron.com	3	Monjubin	Dopdiman	air_handler	thermosolar	heater	1000						7904
aacuff@sonron.com	4	Ciptinicator Holdings		air_handler		heatpump	1320		25.4	25.8			7399
aagramonte@codehow.com	1	Winrobonover International	Dopfropex	air_handler	electric	heater	350						3984
aahle@lexiqvolax.com	1	Surjubar  Company	Surroban	air_handler	electric	heater	960						8308
aahle@xx-holding.com	1	Uptumistor WorldWide	Invenaquentor	air_handler	electric	heater	1000						1183
aahle@xx-holding.com	2	Dopcadegax Holdings	Rapglibedar	air_handler	electric	heater	1330						1199
aahle@xx-holding.com	3	Frodudollazz  Corp.	Dopjubazz	air_handler		heatpump	710		19.4	27.4			1023
aahle@xx-holding.com	4	Recadedin Direct		air_handler	thermosolar	heater,heatpump	1790		23.4	61.4			1657
aahle@xx-holding.com	5	Suppickor	Hapnipommex	air_handler	electric	heater	1040						1238
aahle@xx-holding.com	6	Empickadin	Frotumedgex	air_handler	electric	heater,air_conditioner	1340	0.4					1123
aandreason@xx-holding.com	1	Emzapar Holdings Corp.	Qwizapamentor	air_handler		air_conditioner	1840	2.1					10757
aandreason@xx-holding.com	2	Thrutanower	Ciptinin	air_handler		air_conditioner	1090	2.6					7994
aandreason@xx-holding.com	3	Dopsipedgax	Sursipadar	air_handler	electric	heater	1860						7975
aangalich@rundofase.com	1	Cipvenupicator  Corp.		water_heater	fuel oil						28.6	103	6135
aangalich@rundofase.com	2	Grovenexar Holdings Corp.	Tipjubax	air_handler	gas	heater	830						7466
aangalich@rundofase.com	3	Bartanollover WorldWide	Qwiwerpax	air_handler		heatpump	1320		17.4	32.0			8012
aankeny@y-corporation.com	1	Endpickower  Group	Endwerpicover	water_heater	electric						47.3	106	10688
aarias@gogozoom.com	1	Suprobefax WorldWide Company	Zeedudegover	air_handler		heatpump	1950		30.1	52.2			8588
aarias@gogozoom.com	2	Lomwerpan Holdings	Upwerefantor	water_heater	electric						64.6	118	8199
aarias@gogozoom.com	3	Thrunipexentor	Grodimar	water_heater	fuel oil						76.2	205	6533
aarias@gogozoom.com	4	Uncadollicator Direct	Tupmunazz	air_handler	gas	heater	1570						7717
aarias@toughzap.com	1	Hapweristor Holdings Corp.	Doptumicentor	air_handler		heatpump	950		24.1	51.1			11281
aauber@bioplex.com	1	Tupvenin Direct Inc	Dopcadewax	air_handler		heatpump	730		24.7	51.3			10893
aauber@stanredtax.com	1	Lomcadar  Corp.	Dopmunax	water_heater	electric						20.8	151	14326
aauffrey@betatech.com	1	Surerepin Direct Corp.	Endjubexicator	air_handler		air_conditioner	930	3.5					12035
aauffrey@betatech.com	2	Lomquestadan International	Cippebantor	air_handler	thermosolar	heater	2080						9285
aauffrey@betatech.com	3	Vartumackicator  Company	Infropilax	air_handler		air_conditioner	1800	2.2					9969
abachman@ganjaflex.com	1	Tuptumex	Vardimedax	air_handler		air_conditioner	1210	2.4					6674
abachman@ganjaflex.com	2	Monjubistor International Company	Thrutinedgentor	water_heater	electric						34.5	114	5480
abachman@ganjaflex.com	3	Surdimicator	Unfropover	water_heater	gas						37.9	120	6967
abachman@labdrill.com	1	Endsipepazz Direct		water_heater	electric						66.7	127	3977
abachman@labdrill.com	2	Fropebex WorldWide	Varwerplantor	air_handler		air_conditioner	950	1.7					4777
abachman@labdrill.com	3	Montanaman Holdings	Varjubantor	water_heater	heat pump						18.1	110	5901
abachman@labdrill.com	4	Winsipexar WorldWide	Trujubentor	air_handler		air_conditioner	880	1.3					5375
abachman@labdrill.com	5	Tupvenonax	Parsapower	air_handler		air_conditioner	1610	2.2					5671
abachman@labdrill.com	6	Rapvenamower International	Lompickentor	air_handler		air_conditioner	890	1.5					4299
abarfield@sunnamplex.com	1	Truwerentor WorldWide Corp.	Thruwerpinentor	air_handler		air_conditioner	1380	0.6					2437
abarfield@sunnamplex.com	2	Lombanex WorldWide	Adfropexazz	air_handler		heatpump	550		26.7	43.7			2678
abarfield@sunnamplex.com	3	Uptumex International	Suppebentor	air_handler		air_conditioner	1150	0.9					2792
abarfield@sunnamplex.com	4	Thrupebonor	Zeehupedin	air_handler	gas	air_conditioner,heater,heatpump	620	1.3	22.3	35.5			5652
abartolet@conecom.com	1	Unhupicazz International Inc	Sursipor	air_handler		air_conditioner	450	6.2					5539
abartolet@conecom.com	2	Bartumopover Direct Inc	Barwerpaman	air_handler	thermosolar	heater,heatpump	1330		21.8	36.3			5893
abartolet@conecom.com	3	Winpickopantor WorldWide	Dopzapefax	air_handler	electric	heater	1600						4272
abartolet@kan-code.com	1	Cipfropefar	Varglibanistor	air_handler		air_conditioner	1950	5.0					8805
abartolet@kan-code.com	2	Varpickex	Thrukiledgover	air_handler		heatpump	1930		23.0	62.8			7814
abartolet@kan-code.com	3	Frofropopicator Direct	Upzapedgin	air_handler		heatpump	340		22.9	32.5			8926
abartolet@kan-code.com	4	Partanommentor		air_handler		air_conditioner	1930	10.1					9779
abartolet@zencorporation.com	1	Vartumackicator  Company	Dopmunan	air_handler		heatpump	1570		23.5	47.8			4750
abatman@year-job.com	1	Uprobar	Thrufropewor	air_handler		air_conditioner	1350	0.9					5159
abatman@year-job.com	2	Tuppickor		air_handler	electric	heater,heatpump	1280		20.4	55.4			6929
abatman@year-job.com	3	Parfropazz Direct	Infropedor	water_heater	gas						64.1	158	3621
abatman@year-job.com	4	Endhupover Direct	Cipwerommar	air_handler	electric	heater	1260						5422
abatman@year-job.com	5	Endglibupentor Holdings Group	Winpickimantor	air_handler		air_conditioner	1480	0.9					4645
abatman@year-job.com	6	Tupmunedgantor  Inc		air_handler		air_conditioner	480	1.2					5064
abatman@year-job.com	7	Winsipicator  Inc	Varmunamex	air_handler	electric	heater,heatpump	1390		21.3	40.2			6349
abeech@doncon.com	1	Barpickinicator	Addimilex	water_heater	gas						50.0	114	11441
abergesen@iselectrics.com	1	Rerobex		air_handler		air_conditioner	1870	2.3					10456
aberlanga@betatech.com	1	Intinicower	Wintuminin	air_handler	electric	heater	400						5898
aberlanga@betatech.com	2	Winquestedgazz  Inc	Thrutanegax	air_handler		air_conditioner	1130	1.4					6878
aberlanga@betatech.com	3	Dopkilaquazz  Group	Varglibadentor	air_handler		heatpump	1910		25.7	24.7			5817
aberlanga@betatech.com	4	Parpebefex	Qwiquestilistor	air_handler		heatpump	860		25.3	44.2			6201
aberlanga@betatech.com	5	Surerommazz International Company	Supjubexicator	water_heater	electric						33.7	106	7182
aberlanga@betatech.com	6	Emwerpentor Direct Corp.	Doppebentor	water_heater	electric						70.7	136	6881
aberlanga@betatech.com	7	Klitanplex Direct Company	Truwerex	air_handler	electric	heater	580						6447
aberlanga@finhigh.com	1	Rehupex	Gromunadar	air_handler	electric	heater	1390						9823
aberlanga@treequote.com	1	Thruweraquicator Holdings		air_handler		heatpump	1150		26.1	32.6			15712
aberray@golddex.com	1	Retanar	Lomvenedgicator	air_handler		heatpump	1200		25.9	48.8			2159
aberray@golddex.com	2	Rapdimonazz Direct Inc	Unglibedgower	water_heater	gas						38.3	137	1657
aberray@golddex.com	3	Intinicistor WorldWide	Happickover	air_handler		air_conditioner	700	1.4					2062
abiddy@codehow.com	1	Winwerpadower International Company		air_handler		heatpump	1540		20.6	47.7			15653
