email	household_type	footage	heating_temp	cooling_temp	postal_code	utilities
aacey@golddex.com	house	168	74		58763	electric,gas
aacey@labdrill.com	townhome	2178	74	72	06077	electric
aacuff@opentech.com	house	1321	74	74	47134	gas
aacuff@sonron.com	townhome	1875	75		15664	electric,gas
aagramonte@codehow.com	modular home	195	66	71	49930	gas
aahle@lexiqvolax.com	apartment	529		71	31772	gas,steam
aahle@xx-holding.com	modular home	450	70	74	94147	gas
aandreason@xx-holding.com	house	1203	66		95655	liquid fuel
aangalich@rundofase.com	apartment	1003	67	75	97345	liquid fuel
aankeny@y-corporation.com	house	570		75	56042	
aarias@gogozoom.com	townhome	1461	69	73	72331	gas
aarias@toughzap.com	townhome	609	76		25040	steam
aauber@bioplex.com	house	617	68	73	59105	gas,steam
aauber@stanredtax.com	apartment	625	72	75	21213	gas
aauffrey@betatech.com	house	1596	74		58126	electric
abachman@ganjaflex.com	apartment	974	73	72	17763	electric,gas,steam
abachman@labdrill.com	condominium	1503	75	71	70502	electric,gas
abarfield@sunnamplex.com	apartment	879		74	29536	electric,gas
abartolet@conecom.com	apartment	913	75	76	22960	electric,liquid fuel
abartolet@kan-code.com	house	1838	74	73	08243	electric,gas
abartolet@zencorporation.com	modular home	192	75	73	36133	liquid fuel
abatman@year-job.com	apartment	2073			29727	electric
abeech@doncon.com	apartment	495	73	69	27376	gas,liquid fuel
abergesen@iselectrics.com	apartment	495		71	74466	electric
aberlanga@betatech.com	apartment	2347	72	73	43232	gas
aberlanga@finhigh.com	house	606		75	21663	electric
aberlanga@treequote.com	house	918	73		05074	electric
aberray@golddex.com	modular home	332			76577	electric,gas,liquid fuel
abiddy@codehow.com	house	712	70	74	93265	electric
abilden@streethex.com	apartment	850	77	73	34876	
abirkner@iselectrics.com	townhome	77		71	50118	gas
ablackwood@ontomedia.com	house	1408	67	74	83526	gas
abookamer@domzoom.com	modular home	46	68	76	60127	electric,steam
abookamer@plussunin.com	townhome	1370	75		43128	electric
aboord@plussunin.com	townhome	1812	71	71	75165	gas
aboulter@goodsilron.com	house	658		73	13734	
aboulter@scottech.com	modular home	46	65	74	21864	electric
aboulter@xx-zobam.com	apartment	814	68	74	71076	electric,liquid fuel
abreland@j-texon.com	condominium	585	71	72	87322	
abreland@streethex.com	house	2808	71		74930	
abrucato@plussunin.com	apartment	1312	75	70	74136	
abruschke@domzoom.com	condominium	2097	76		77386	gas
abubash@cancity.com	house	1323	66		23430	electric,steam
abuemi@sumace.com	apartment	435	64	73	90230	electric,gas
abuemi@zoomit.com	apartment	915	73	72	89570	
aburnard@finjob.com	house	2875	78	72	66959	electric,gas
abutt@sonron.com	apartment	694	70		15351	
abutt@year-job.com	house	2135	71	72	43937	electric
abutzen@donquadtech.com	house	926	77	72	06087	
abuvens@lexiqvolax.com	apartment	1108	77	69	75658	gas,liquid fuel
abuzick@plexzap.com	apartment	1565	74		93201	electric,gas
abuzick@singletechno.com	townhome	1509	66		14461	
acaiafa@inity.com	house	1893	75	74	35551	electric,liquid fuel
acalvaresi@openlane.com	townhome	1073	76	76	56177	gas,liquid fuel
acalvaresi@plusstrip.com	apartment	962	70		36250	electric
acampain@newex.com	townhome	1207	67		18234	gas,liquid fuel
acampain@opentech.com	apartment	852	72	73	80744	gas,steam
acampain@xx-zobam.com	house	134	69	75	39298	
acandlish@bioplex.com	modular home	256	73	73	81210	gas
acentini@conecom.com	house	2081	76		78673	electric,liquid fuel
achaffins@hottechi.com	house	1770	75	74	99706	gas
achesterfield@bioplex.com	modular home	515		71	44221	electric
achui@kan-code.com	apartment	396	72	71	72032	electric,gas
aclaucherty@kinnamplus.com	apartment	587	75	75	14881	gas
acloney@hottechi.com	house	1657	76		04850	electric,gas,steam
acookey@donquadtech.com	apartment	690		73	93002	gas
acookey@sumace.com	apartment	1890	73	74	97335	gas,steam
acorbley@dambase.com	apartment	908	76		61554	
acorbley@j-texon.com	house	1466	69	75	21769	
acorbley@xx-holding.com	house	1215	75		36614	electric
acork@rantouch.com	house	1958	74		44760	electric,gas
acorrington@j-texon.com	house	113	76	74	37642	electric
acousey@statholdings.com	townhome	931	74		44442	
acoyier@j-texon.com	townhome	1796	74	74	46928	electric,gas
acoyier@rantouch.com	house	1353	73	74	15337	gas
acrupi@isdom.com	condominium	1815	76	75	44610	gas,liquid fuel,steam
acrupi@lexiqvolax.com	apartment	454	65	72	99832	gas
adallen@faxquote.com	apartment	813	72	73	66030	gas
adallen@sunnamplex.com	apartment	476		74	91789	electric
adarakjy@donquadtech.com	apartment	1066	74		23163	electric
adarakjy@nam-zim.com	townhome	754	71	72	62434	liquid fuel
adarakjy@opentech.com	house	1714	75	74	39668	electric
adaufeldt@golddex.com	condominium	1316	76		75667	gas
adegroot@bioholding.com	house	1466	75	73	64781	
adeleo@mathtouch.com	house	2033	76		25234	gas
ademesa@bioholding.com	modular home	131	75	72	50574	gas
ademesa@donware.com	modular home	114	68	72	12483	
adenooyer@doncon.com	apartment	1000		74	37731	electric
adenooyer@hatfan.com	house	2299	75	72	99641	gas,liquid fuel
adinos@hatfan.com	townhome	1293	78	72	14882	electric,gas
aduenas@toughzap.com	condominium	1087		74	31005	electric
aeanes@rantouch.com	apartment	1267	74		36859	electric,gas
aeanes@zotware.com	house	2232	76	75	44194	gas,liquid fuel
aennaco@warephase.com	modular home	267	75	72	75219	gas,liquid fuel
aeroman@sunnamplex.com	apartment	702		74	97480	electric,gas
afallick@konex.com	apartment	858	67	75	61913	steam
afallick@ontomedia.com	townhome	877	71		88541	electric,gas,liquid fuel
afeichtner@green-plus.com	house	955	72		48112	steam
aferencz@hatfan.com	townhome	1745	74	72	53082	gas,liquid fuel
afern@xx-holding.com	tiny house	87	72	73	20785	electric
aflister@blackzim.com	condominium	1064	68	69	23261	electric,gas
aflosi@cancity.com	house	465	76	70	94804	electric,liquid fuel
aflosi@inity.com	modular home	163	72	73	62475	electric,gas,liquid fuel
afrancescon@zathunicon.com	house	1147		73	04611	electric,gas,liquid fuel
afrankel@year-job.com	apartment	903	73		58832	electric,gas
afredicks@finjob.com	townhome	792	75	68	67632	gas
afredicks@iselectrics.com	modular home	181	66	75	18059	gas,liquid fuel
afredicks@silis.com	condominium	893	74	73	78130	electric,gas,steam
afrerking@donware.com	condominium	608	74		79949	electric,liquid fuel
afrerking@plexzap.com	apartment	1663	71	69	85923	electric
agabisi@streethex.com	apartment	75	73	74	05038	liquid fuel
agalam@condax.com	apartment	519	71	71	50936	gas
agehrett@mathtouch.com	apartment	363	69	69	17607	gas
agellinger@labdrill.com	apartment	1022	75	74	54735	liquid fuel
agellinger@mathtouch.com	house	2322			08330	gas,liquid fuel,steam
agesick@scotfind.com	house	724	76		49440	electric
