household_email	power_number	energy_source	kilowatt_hours	battery
aacey@golddex.com	1	solar	158	34
aahle@lexiqvolax.com	1	solar	68	
aandreason@xx-holding.com	1	solar	58	41
aankeny@y-corporation.com	1	solar	185	63
abachman@ganjaflex.com	1	solar	18	19
abeech@doncon.com	1	solar	117	41
abergesen@iselectrics.com	1	wind-turbine	53	13
aberray@golddex.com	1	solar	56	60
aberray@golddex.com	2	solar	56	28
abiddy@codehow.com	1	solar	81	
abilden@streethex.com	1	wind-turbine	116	39
aboulter@goodsilron.com	1	solar	18	71
aboulter@xx-zobam.com	1	solar	86	
abreland@j-texon.com	1	solar	27	85
abreland@streethex.com	1	solar	22	39
abrucato@plussunin.com	1	wind-turbine	16	44
abubash@cancity.com	1	solar	101	38
abuemi@zoomit.com	1	solar	43	33
abutt@sonron.com	1	solar	103	113
abutt@year-job.com	1	solar	70	
abutzen@donquadtech.com	1	solar	54	35
abuzick@singletechno.com	1	solar	64	13
abuzick@singletechno.com	2	solar	34	13
acalvaresi@openlane.com	1	wind-turbine	44	
acampain@newex.com	1	solar	63	25
acampain@xx-zobam.com	1	solar	39	
acentini@conecom.com	1	solar	66	
aclaucherty@kinnamplus.com	1	solar	79	38
acloney@hottechi.com	1	solar	85	
acorbley@dambase.com	1	solar	214	26
acorbley@j-texon.com	1	solar	109	12
acorbley@xx-holding.com	1	solar	60	
acorbley@xx-holding.com	2	solar	30	33
acorrington@j-texon.com	1	solar	108	
acousey@statholdings.com	1	solar	205	105
acoyier@j-texon.com	1	solar	19	30
acrupi@isdom.com	1	solar	15	
adallen@sunnamplex.com	1	wind-turbine	15	13
adaufeldt@golddex.com	1	solar	26	12
adegroot@bioholding.com	1	solar	72	27
ademesa@donware.com	1	solar	91	19
aeanes@zotware.com	1	wind-turbine	54	40
aeroman@sunnamplex.com	1	solar	51	48
afallick@konex.com	1	solar	118	17
afern@xx-holding.com	1	solar	65	20
afrankel@year-job.com	1	solar	48	32
afrerking@donware.com	1	solar	17	57
afrerking@plexzap.com	1	solar	124	29
agellinger@labdrill.com	1	solar	27	42
agellinger@mathtouch.com	1	solar	85	10
agesick@stanredtax.com	1	solar	141	14
agibes@openlane.com	1	solar	137	65
agleich@golddex.com	1	solar	64	
agrenet@sunnamplex.com	1	solar	23	76
agwalthney@statholdings.com	1	solar	108	
ahalsey@conecom.com	1	solar	96	
ahalsey@faxquote.com	1	wind-turbine	84	
ahalsey@faxquote.com	2	solar	24	24
aharnos@condax.com	1	solar	16	
aharnos@condax.com	2	solar	30	
aharoldson@sumace.com	1	wind-turbine	93	
aheintzman@groovestreet.com	1	solar	73	18
ahiatt@groovestreet.com	1	solar	21	33
ahiatt@groovestreet.com	2	wind-turbine	33	
ahidvegi@goodsilron.com	1	solar	21	41
ahidvegi@goodsilron.com	2	solar	68	24
ahoffis@singletechno.com	1	solar	53	28
ahoneywell@statholdings.com	1	wind-turbine	22	21
ahoopengardner@toughzap.com	1	solar	193	
ainouye@blackzim.com	1	solar	37	38
aisenhower@ontomedia.com	1	solar	147	14
aiturbide@year-job.com	1	solar	71	38
ajacobos@streethex.com	1	solar	77	29
ajillson@condax.com	1	solar	135	71
ajillson@goodsilron.com	1	solar	18	18
ajurney@ontomedia.com	1	wind-turbine	73	33
ajurney@ontomedia.com	2	solar	72	10
ajuvera@rantouch.com	1	solar	96	17
akalafatis@conecom.com	1	solar	137	37
akannady@mathtouch.com	1	solar	68	
akarpel@green-plus.com	1	solar	46	27
akeetch@y-corporation.com	1	solar	55	
akeetch@zumgoity.com	1	solar	68	39
akeneipp@labdrill.com	1	solar	47	17
akeneipp@year-job.com	1	solar	59	
akiel@hatfan.com	1	solar	107	12
akippley@goodsilron.com	1	solar	40	26
akippley@goodsilron.com	2	solar	78	
akippley@goodsilron.com	3	solar	61	
aklang@y-corporation.com	1	solar	73	
aklusman@statholdings.com	1	solar	135	23
akohl@gogozoom.com	1	wind-turbine	62	45
akolmetz@kan-code.com	1	wind-turbine	24	15
akoppinger@hatfan.com	1	wind-turbine	37	
akoppinger@hatfan.com	2	solar	52	48
alabreche@lexiqvolax.com	1	solar	126	
alary@xx-zobam.com	1	solar	49	11
alietz@cancity.com	1	solar	21	
alimmel@cancity.com	1	solar	47	16
alimmel@cancity.com	2	solar	82	24
alimmel@cancity.com	3	wind-turbine	51	19
alinahan@zoomit.com	1	solar	18	
alindall@dontechi.com	1	solar	30	
alindall@finjob.com	1	solar	142	45
alipke@rundofase.com	1	wind-turbine	41	27
aliukko@hottechi.com	1	solar	29	15
aloder@betatech.com	1	wind-turbine	70	15
alorens@ganjaflex.com	1	solar	104	
alother@zencorporation.com	1	solar	118	13
alueckenbach@faxquote.com	1	solar	73	21
alueckenbach@iselectrics.com	1	solar	24	13
amadarang@plexzap.com	1	solar	18	
amadarang@rantouch.com	1	solar	114	88
amaillard@doncon.com	1	solar	44	16
amallett@zoomit.com	1	wind-turbine	86	17
amaynerich@ganjaflex.com	1	solar	98	81
amcdoniel@plussunin.com	1	solar	83	39
amcnease@goodsilron.com	1	solar	88	47
ameinerding@nam-zim.com	1	wind-turbine	78	31
ameisel@scotfind.com	1	solar	73	26
amenter@dalttechnology.com	1	solar	70	16
amenter@dontechi.com	1	solar	90	
amiro@zoomit.com	1	solar	22	
amiro@zoomit.com	2	solar	82	
amodzelewski@iselectrics.com	1	solar	21	17
amondella@funholding.com	1	wind-turbine	18	
amondella@funholding.com	2	solar	65	55
amonterrubio@golddex.com	1	solar	136	
amonterrubio@konex.com	1	solar	162	
amontezuma@blackzim.com	1	solar	56	
amotley@codehow.com	1	solar	103	35
amyricks@bioholding.com	1	wind-turbine	52	41
aneither@funholding.com	1	solar	50	28
aneither@gogozoom.com	1	solar	23	
aneither@gogozoom.com	2	solar	63	33
aneither@gogozoom.com	3	solar	139	32
aoles@dontechi.com	1	solar	88	14
aoles@kan-code.com	1	solar	53	15
aoles@kan-code.com	2	solar	92	16
aostrosky@zencorporation.com	1	solar	52	31
apadilla@rantouch.com	1	solar	91	
apaulas@bioplex.com	1	solar	46	
apaulas@mathtouch.com	1	solar	21	
aperez@plexzap.com	1	solar	42	11
apinilla@y-corporation.com	1	wind-turbine	114	106
apontoriero@groovestreet.com	1	solar	57	18
apoquette@bioholding.com	1	solar	78	24
araymo@rundofase.com	1	solar	61	
arhoden@bioholding.com	1	solar	15	37
arhoden@faxquote.com	1	solar	81	31
arhoden@konmatfix.com	1	solar	112	45
arhymes@scotfind.com	1	solar	49	14
arochin@stanredtax.com	1	solar	121	
arodeigues@statholdings.com	1	solar	247	128
aroyster@domzoom.com	1	solar	57	36
asamara@streethex.com	1	solar	51	93
asawchuk@groovestreet.com	1	solar	87	27
asayaphon@rundofase.com	1	solar	47	24
asaylors@gogozoom.com	1	solar	57	
aseewald@doncon.com	1	solar	98	43
ashin@kinnamplus.com	1	solar	33	25
ashinko@konmatfix.com	1	solar	82	13
aspickerman@zathunicon.com	1	solar	49	16
aspringe@y-corporation.com	1	solar	115	37
astaback@betasoloin.com	1	solar	51	
astem@isdom.com	1	solar	122	
astoltzman@statholdings.com	1	wind-turbine	21	
astrassner@doncon.com	1	solar	134	24
astuer@funholding.com	1	solar	76	
astuer@scotfind.com	1	solar	22	51
asturiale@plusstrip.com	1	solar	92	42
asweely@hatfan.com	1	solar	52	12
atawil@faxquote.com	1	solar	68	
atheodorov@fasehatice.com	1	solar	184	80
athyberg@rangreen.com	1	solar	23	20
atillotson@toughzap.com	1	solar	66	
atimenez@warephase.com	1	solar	98	
atimenez@y-corporation.com	1	solar	66	24
atjepkema@inity.com	1	solar	106	15
atomblin@treequote.com	1	solar	33	
atoyama@j-texon.com	1	solar	44	59
aturinetti@rundofase.com	1	solar	20	
aupthegrove@toughzap.com	1	solar	83	
avanheusen@xx-zobam.com	1	solar	19	
avenere@stanredtax.com	1	solar	148	
avenere@zathunicon.com	1	solar	24	34
awalthall@codehow.com	1	wind-turbine	114	26
awhobrey@opentech.com	1	solar	43	
awhobrey@opentech.com	2	wind-turbine	129	19
awiklund@xx-zobam.com	1	solar	19	41
aworlds@scottech.com	1	solar	104	14
azagen@kinnamplus.com	1	solar	60	59
bblackwood@singletechno.com	1	solar	53	87
bborgman@golddex.com	1	solar	66	36
bbrossart@y-corporation.com	1	solar	177	83
bbutzen@finjob.com	1	solar	17	
bbutzen@rantouch.com	1	solar	72	23
bcampain@fasehatice.com	1	solar	23	26
bcaudy@plussunin.com	1	solar	64	
bcentini@stanredtax.com	1	solar	139	27
bcrupi@bioplex.com	1	solar	39	39
bcrupi@bioplex.com	2	solar	30	30
bdenooyer@goodsilron.com	1	solar	84	15
bdiestel@bioholding.com	1	solar	17	
bdrymon@stanredtax.com	1	solar	30	
bdrymon@stanredtax.com	2	solar	62	14
beanes@ron-tech.com	1	solar	41	26
beanes@xx-holding.com	1	wind-turbine	54	64
beroman@labdrill.com	1	solar	43	13
beschberger@xx-zobam.com	1	solar	47	39
bflosi@rundofase.com	1	wind-turbine	56	31
bflosi@rundofase.com	2	solar	69	24
bfredicks@zathunicon.com	1	solar	36	
bgehrett@dalttechnology.com	1	solar	100	29
bgellinger@streethex.com	1	solar	114	15
bgillaspie@finhigh.com	1	solar	19	38
bgreenbush@xx-holding.com	1	solar	103	12
bgrenet@betasoloin.com	1	solar	110	25
bgrenet@betasoloin.com	2	solar	94	24
bgudroe@ontomedia.com	1	solar	106	
bgwalthney@hatfan.com	1	solar	153	54
bhirpara@groovestreet.com	1	solar	57	58
bhoneywell@finjob.com	1	solar	104	16
bhoneywell@isdom.com	1	solar	18	40
bhoneywell@isdom.com	2	solar	117	
bjillson@openlane.com	1	solar	72	26
bjillson@openlane.com	2	solar	41	34
bjuhas@konmatfix.com	1	solar	44	14
bkaniecki@gogozoom.com	1	solar	19	16
bkardas@ron-tech.com	1	solar	94	
bkeener@konex.com	1	wind-turbine	89	15
bkeetch@iselectrics.com	1	solar	54	
blabreche@faxquote.com	1	solar	46	23
blacovara@rangreen.com	1	wind-turbine	57	15
blacovara@rangreen.com	2	solar	84	
blacovara@silis.com	1	solar	35	28
blapage@fasehatice.com	1	wind-turbine	82	39
blawler@dambase.com	1	solar	22	15
blawler@dambase.com	2	solar	22	16
blawler@dambase.com	3	solar	62	29
blawler@rantouch.com	1	solar	21	
blawler@rantouch.com	2	solar	125	23
blipke@codehow.com	1	solar	33	
blungren@scotfind.com	1	solar	58	28
bmartabano@fasehatice.com	1	solar	24	35
bmauson@mathtouch.com	1	solar	137	
bmclaird@betatech.com	1	wind-turbine	48	25
bmiceli@scottech.com	1	solar	60	31
bmodzelewski@rundofase.com	1	solar	67	25
bmontezuma@scotfind.com	1	solar	125	38
bmulqueen@mathtouch.com	1	solar	50	
bmyricks@sunnamplex.com	1	solar	18	
bneither@rangreen.com	1	solar	96	30
bneither@zotware.com	1	solar	45	39
bnestle@warephase.com	1	solar	20	27
bnewville@donware.com	1	solar	51	
bnunlee@plexzap.com	1	solar	15	57
boldroyd@xx-zobam.com	1	solar	20	
bpadilla@silis.com	1	solar	87	19
bpadilla@silis.com	2	solar	101	43
bparvis@donware.com	1	wind-turbine	34	26
bpatak@inity.com	1	wind-turbine	19	
bpelkowski@silis.com	1	solar	99	
bplumer@doncon.com	1	wind-turbine	92	27
bpoullion@opentech.com	1	solar	36	
bradde@warephase.com	1	solar	18	
braymo@nam-zim.com	1	solar	124	
braymo@nam-zim.com	2	solar	19	
brestrepo@conecom.com	1	solar	143	81
broyster@zencorporation.com	1	wind-turbine	110	32
bsamu@newex.com	1	solar	31	
bsaulter@betatech.com	1	solar	129	13
bschmaltz@bioholding.com	1	solar	22	22
bschnitzler@warephase.com	1	wind-turbine	72	
bschnitzler@warephase.com	2	solar	23	29
bsergi@kan-code.com	1	solar	70	26
bshire@groovestreet.com	1	solar	47	
bsimilton@konmatfix.com	1	solar	89	10
bsteffensmeier@xx-zobam.com	1	solar	183	19
bstenseth@donquadtech.com	1	solar	96	21
bstenseth@donquadtech.com	2	solar	38	
bsweely@bioplex.com	1	solar	45	19
bsweely@nam-zim.com	1	solar	108	12
bsweely@scotfind.com	1	solar	36	
btoyama@j-texon.com	1	solar	77	39
btreston@nam-zim.com	1	solar	102	
bupthegrove@ontomedia.com	1	solar	258	42
bvizarro@donquadtech.com	1	solar	108	15
bwalthall@stanredtax.com	1	solar	103	22
bweirather@scottech.com	1	solar	85	14
bwiklund@faxquote.com	1	solar	41	
bwolfgramm@xx-holding.com	1	solar	53	
byaw@plussunin.com	1	solar	136	21
bzepp@bioplex.com	1	wind-turbine	118	12
bzurcher@ganjaflex.com	1	solar	20	11
cacey@plusstrip.com	1	solar	69	31
cacey@year-job.com	1	solar	20	15
cacey@year-job.com	2	solar	46	11
camigon@betasoloin.com	1	solar	17	23
camyot@xx-holding.com	1	solar	101	
candreason@silis.com	1	wind-turbine	55	18
cangalich@golddex.com	1	solar	100	35
caquas@silis.com	1	solar	50	78
carceo@goodsilron.com	1	solar	145	
casar@iselectrics.com	1	solar	38	29
cauffrey@finhigh.com	1	wind-turbine	21	
cauffrey@scottech.com	1	solar	40	29
cbaltimore@lexiqvolax.com	1	solar	108	15
cbaltimore@statholdings.com	1	solar	102	12
cbarfield@xx-zobam.com	1	wind-turbine	19	40
cbarfield@zumgoity.com	1	solar	31	34
cbarfield@zumgoity.com	2	solar	36	51
cbartolet@green-plus.com	1	wind-turbine	171	93
cbatman@fasehatice.com	1	solar	73	41
cbatman@year-job.com	1	solar	88	32
cbayless@codehow.com	1	solar	55	13
cbiddy@cancity.com	1	solar	50	
cbirkner@hottechi.com	1	solar	64	44
cblackwood@scottech.com	1	solar	21	
cblackwood@scottech.com	2	solar	127	13
cbookamer@blackzim.com	1	solar	20	18
cborgman@j-texon.com	1	solar	205	131
cbrachle@treequote.com	1	solar	166	
cbriddick@hottechi.com	1	solar	97	14
cbruschke@year-job.com	1	solar	56	35
ccallaro@conecom.com	1	solar	106	
ccallaro@doncon.com	1	wind-turbine	65	42
ccallaro@plusstrip.com	1	solar	24	43
ccalvaresi@blackzim.com	1	solar	50	
ccolaizzo@j-texon.com	1	solar	119	12
ccousey@scotfind.com	1	solar	93	40
